A,Z,,,,
1,1,1H,938.272,0,0
2,1,2H,1875.613,2.225,1.112
3,1,3H,2808.921,8.482,2.827
3,2,3He,2808.391,7.718,2.573
4,1,4H,3751.365,5.603,1.401
4,2,4He,3727.379,28.296,7.074
4,3,4Li,3749.763,4.618,1.155
5,1,5H,4689.849,6.684,1.337
5,2,5He,4667.838,27.402,5.48
5,3,5Li,4667.617,26.33,5.266
6,1,6H,5630.313,5.786,0.964
6,2,6He,5605.537,29.268,4.878
6,3,6Li,5601.518,31.994,5.332
6,4,6Be,5605.295,26.924,4.487
7,2,7He,6545.537,28.834,4.119
7,3,7Li,6533.833,39.244,5.606
7,4,7Be,6534.184,37.6,5.371
7,5,7B,6545.773,24.718,3.531
8,2,8He,7482.528,31.408,3.926
8,3,8Li,7471.366,41.277,5.16
8,4,8Be,7454.85,56.5,7.062
8,5,8B,7472.319,37.737,4.717
8,6,8C,7483.98,24.783,3.098
9,2,9He,8423.363,30.138,3.349
9,3,9Li,8406.867,45.341,5.038
9,4,9Be,8392.75,58.165,6.463
9,5,9B,8393.307,56.314,6.257
9,6,9C,8409.291,39.037,4.337
10,2,10He,9362.728,30.339,3.034
10,3,10Li,9346.458,45.315,4.532
10,4,10Be,9325.503,64.977,6.498
10,5,10B,9324.436,64.751,6.475
10,6,10C,9327.573,60.32,6.032
10,7,10N,9350.163,36.437,3.644
11,3,11Li,10285.698,45.64,4.149
11,4,11Be,10264.564,65.481,5.953
11,5,11B,10252.547,76.205,6.928
11,6,11C,10254.018,73.44,6.676
11,7,11N,10267.157,59.008,5.364
12,4,12Be,11200.961,68.649,5.721
12,5,12B,11188.742,79.575,6.631
12,6,12C,11174.862,92.162,7.68
12,7,12N,11191.689,74.041,6.17
12,8,12O,11205.888,58.549,4.879
13,4,13Be,12140.628,68.548,5.273
13,5,13B,12123.429,84.453,6.496
13,6,13C,12109.481,97.108,7.47
13,7,13N,12111.191,94.105,7.239
13,8,13O,12128.446,75.556,5.812
14,4,14Be,13078.822,69.919,4.994
14,5,14B,13062.025,85.423,6.102
14,6,14C,13040.87,105.285,7.52
14,7,14N,13040.203,104.659,7.476
14,8,14O,13044.836,98.732,7.052
15,5,15B,13998.827,88.186,5.879
15,6,15C,13979.217,106.503,7.1
15,7,15N,13968.935,115.492,7.699
15,8,15O,13971.178,111.955,7.464
15,9,15F,13984.591,97.249,6.483
