A,Z,Element,Bindungsenergie_pro_Nukleon_MeV
1,1,1H,0
2,1,2H,1.112
3,2,3He,2.573
4,2,4He,7.074
6,3,6Li,5.332
8,4,8Be,7.062
10,5,10B,6.475
12,6,12C,7.68
14,7,14N,7.476
16,8,16O,7.976
18,9,18F,7.632
20,10,20Ne,8.032
22,11,22Na,7.916
24,12,24Mg,8.261
26,13,26Al,8.15
28,14,28Si,8.448
30,15,30P,8.354
32,16,32S,8.493
34,17,34Cl,8.399
36,18,36Ar,8.52
38,19,38K,8.438
46,23,46V,8.486
51,23,51V,8.742
55,25,55Mn,8.765
58,26,58Fe,8.792
59,27,59Co,8.768
65,29,65Cu,8.757
75,33,75As,8.701
84,36,84Kr,8.717
90,40,90Zr,8.71
98,44,98Ru,8.62
101,45,101Rh,8.588
110,48,110Cd,8.551
122,52,122Te,8.478
132,56,132Ba,8.409
141,59,141Pr,8.354
149,65,149Tb,8.21
160,68,160Er,8.152
172,72,172Hf,8.072
182,76,182Os,7.99
194,80,194Hg,7.915
206,84,206Po,7.841
214,88,214Ra,7.749
225,93,225Np,7.608
243,97,243Bk,7.518
264,108,264Hs,7.298
